"","Station_species","min"
"1","Chollas Reservoir_Bluegill",23
"2","Chollas Reservoir_Largemouth Bass",75
"3","Chollas Reservoir_Redear Sunfish",9
"4","Cuyamaca Reservoir_Black Crappie",49
"5","Cuyamaca Reservoir_Bluegill",10
"6","Cuyamaca Reservoir_Common Carp Fillet (Skin Off)",23
"7","Cuyamaca Reservoir_Green Sunfish",9
"8","Cuyamaca Reservoir_Largemouth Bass",111
"9","Cuyamaca Reservoir_Rainbow Trout Fillet (Skin Off)",23
"10","Dana Point Harbor_Chub Mackerel",42
"11","Dana Point Harbor_Jacksmelt",36
"12","Dana Point Harbor_Pacific Bonito",22
"13","Dana Point Harbor_Pacific Oyster",5.074
"14","Dana Point Harbor_Striped Mullet",5
"15","Dana Point Harbor_Walleye Surfperch",29
"16","Imperial Beach Pier_Barred Surfperch",21
"17","Imperial Beach Pier_California Corbina",24
"18","Imperial Beach Pier_California Corbina Fillet (Skin Off)",25
"19","Imperial Beach Pier_California Mussel",4.984
"20","Imperial Beach Pier_Chub Mackerel",45
"21","Imperial Beach Pier_Jacksmelt",15
"22","Imperial Beach Pier_Pacific Bonito",31
"23","Imperial Beach Pier_Pacific Sardine",11
"24","Imperial Beach Pier_Queenfish",41
"25","Lower Sweetwater River_Bluegill",35
"26","Lower Sweetwater River_Bluegill Fillet (Skin Off)",51
"27","Mission Bay_California Spiny Lobster",27
"28","Mission Bay_Chub Mackerel",48
"29","Mission Bay_Jacksmelt",28
"30","Mission Bay_Pacific Bonito",29
"31","Mission Bay_Pacific Oyster",6.75
"32","Mission Bay_Spotfin Croaker",83
"33","Oceanside Harbor_Barred Surfperch",25
"34","Oceanside Harbor_California Spiny Lobster",68
"35","Oceanside Harbor_Chub Mackerel",57
"36","Oceanside Harbor_Jacksmelt",63
"37","Oceanside Harbor_Pacific Bonito",32
"38","Oceanside Harbor_Pacific Oyster",10.71
"39","Oceanside Harbor_Spotfin Croaker",41
"40","Oceanside Pier_Barred Sand Bass",50
"41","Oceanside Pier_Barred Surfperch",25
"42","Oceanside Pier_California Mussel",3.128
"43","Oceanside Pier_Jacksmelt",13
"44","Oceanside Pier_Queenfish",35
"45","Oceanside Pier_Spotfin Croaker Fillet (Skin Off)",87
"46","Oceanside Pier_Spotfin Croaker Liver",56
"47","Oceanside Pier_Yellowfin Croaker",23
"48","San Diego Bay_California Spiny Lobster",65
"49","San Diego Bay_Graceful Rock Crab",23
"50","San Diego Bay_Jack Mackerel",22
"51","San Diego Bay_Pacific Oyster",8.265
"52","San Diego Bay_Spotfin Croaker",152
"53","San Diego Bay_Spotted Sand Bass",96
"54","San Diego Bay_Spotted Sand Bass Fillet (Skin Off)",99
"55","San Diego River_Bluegill",32
"56","San Diego River_Brown Bullhead",47
"57","San Diego River_Common Carp Fillet (Skin Off)",68
"58","San Diego River_Common Carp Liver",16
"59","San Diego River_Largemouth Bass",72
